signal_date,trade_date,volatility_observations,realized_volatility,volatility_status,volatility_cap,trend_close,trend_average,above_trend,trend_cap,final_equity_exposure,cash_target,executed_equity_exposure,executed_cash_weight
2020-11-30,2020-12-01,60,0.24151553907793163,estimated,0.7452936597256297,4960.25,4340.8015,True,1.0,0.7452936597256298,0.2547063402743702,0.7452936597256298,0.2547063402743702
2020-12-31,2021-01-04,60,0.2328372971549065,estimated,0.7730720215337584,5211.29,4451.6511,True,1.0,0.7730720215337583,0.2269279784662417,0.7730720215337583,0.2269279784662417
2021-01-29,2021-02-01,60,0.2924255554014342,estimated,0.6155412776865574,5351.96,4626.8108999999995,True,1.0,0.6155412776865575,0.38445872231344247,0.6155412776865575,0.38445872231344247
2021-02-26,2021-03-01,60,0.3206407057579996,estimated,0.5613760098689816,5336.76,4757.5169,True,1.0,0.5613760098689815,0.4386239901310185,0.5613760098689815,0.4386239901310185
2021-03-31,2021-04-01,60,0.3847229195308928,estimated,0.467869188088614,5048.36,4894.5118999999995,True,1.0,0.4678691880886138,0.5321308119113862,0.4678691880886138,0.5321308119113862
2021-04-30,2021-05-06,60,0.33349874716965067,estimated,0.5397321624972524,5123.49,4990.8546,True,1.0,0.5397321624972524,0.4602678375027476,0.5397321624972524,0.4602678375027476
2021-05-31,2021-06-01,60,0.30935677447378224,estimated,0.5818524592072732,5331.57,5033.8947,True,1.0,0.5818524592072732,0.41814754079272676,0.5818524592072732,0.41814754079272676
2021-06-30,2021-07-01,60,0.2187582810257429,estimated,0.8228259938594876,5224.04,5082.46095,True,1.0,0.8228259938594875,0.17717400614051249,0.8228259938594875,0.17717400614051249
2021-07-30,2021-08-02,60,0.25116330118387975,estimated,0.7166652100508099,4811.17,5124.5443,False,0.5,0.5,0.5,0.5,0.5
2021-08-31,2021-09-01,60,0.2485630557218501,estimated,0.7241623236295649,4805.61,5137.62025,False,0.5,0.5,0.5,0.5,0.5
2021-09-30,2021-10-08,60,0.24328239117751685,estimated,0.7398809224489193,4866.38,5130.98905,False,0.5,0.5,0.5,0.5,0.5
2021-10-29,2021-11-01,60,0.2055604887991437,estimated,0.8756546603461366,4908.77,5125.70315,False,0.5,0.5,0.5,0.5,0.5
2021-11-30,2021-12-01,60,0.17518343546364537,estimated,1.0,4832.03,5061.864299999999,False,0.5,0.49999999999999994,0.5,0.4999999999999999,0.5000000000000001
2021-12-31,2022-01-04,60,0.16101030765974372,estimated,1.0,4940.37,5005.1981,False,0.5,0.5,0.5,0.5,0.5
2022-01-28,2022-02-07,60,0.1651994701727684,estimated,1.0,4563.77,4977.3304499999995,False,0.5,0.5,0.5,0.5,0.5
2022-02-28,2022-03-01,60,0.17349040317389416,estimated,1.0,4581.65,4941.463199999999,False,0.5,0.5,0.5,0.5,0.5
2022-03-31,2022-04-01,60,0.2553568831797752,estimated,0.7048958217166099,4222.6,4838.06215,False,0.5,0.49999999999999994,0.5,0.49999999999999994,0.5
2022-04-29,2022-05-05,60,0.2907117728853679,estimated,0.6191699710454338,4016.24,4733.8934500000005,False,0.5,0.49999999999999994,0.5,0.49999999999999994,0.5
2022-05-31,2022-06-01,60,0.3006761501831429,estimated,0.5986507406402581,4091.52,4632.97725,False,0.5,0.5,0.5,0.5,0.5
2022-06-30,2022-07-01,60,0.254708622203583,estimated,0.7066898577784696,4485.01,4567.2813,False,0.5,0.49999999999999994,0.5,0.49999999999999994,0.5
2022-07-29,2022-08-01,60,0.20604140713959956,estimated,0.8736108071619036,4170.1,4507.6109,False,0.5,0.5,0.5,0.5,0.5
2022-08-31,2022-09-01,60,0.18238155334110479,estimated,0.9869419176584673,4078.84,4420.1218499999995,False,0.5,0.5,0.5,0.5,0.5
2022-09-30,2022-10-10,60,0.15511699358027137,estimated,1.0,3804.89,4323.64765,False,0.5,0.5,0.5,0.5,0.5
2022-10-31,2022-11-01,60,0.1971688552129367,estimated,0.9129230871965309,3508.7,4222.5985,False,0.5,0.5,0.5,0.5,0.5
2022-11-30,2022-12-01,60,0.26138291954593956,estimated,0.6886448445548254,3853.04,4110.6321499999995,False,0.5,0.5,0.5,0.5,0.5
2022-12-30,2023-01-03,60,0.2685839631278555,estimated,0.6701814877692962,3871.63,4039.3611499999997,False,0.5,0.49999999999999994,0.5,0.49999999999999994,0.5
2023-01-31,2023-02-01,60,0.233581871610185,estimated,0.7706077477638952,4156.86,4027.2166,True,1.0,0.7706077477638951,0.22939225223610493,0.7706077477638951,0.22939225223610493
2023-02-28,2023-03-01,60,0.20375506466614218,estimated,0.8834136235824839,4069.46,4030.2827,True,1.0,0.883413623582484,0.11658637641751601,0.883413623582484,0.11658637641751601
2023-03-31,2023-04-03,60,0.18283488926961566,estimated,0.984494812336199,4050.93,4030.3660999999997,True,1.0,0.9844948123361988,0.015505187663801157,0.9844948123361988,0.015505187663801157
2023-04-28,2023-05-04,60,0.174971190940195,estimated,1.0,4029.09,4004.15655,True,1.0,1.0,0.0,1.0,0.0
2023-05-31,2023-06-01,60,0.1548691120454174,estimated,1.0,3798.54,3970.46885,False,0.5,0.5,0.5,0.5,0.5
2023-06-30,2023-07-03,60,0.16441281687674036,estimated,1.0,3842.45,3941.7642500000006,False,0.5,0.5,0.5,0.5,0.5
2023-07-31,2023-08-01,60,0.1826314523970243,estimated,0.9855914610408739,4014.63,3931.9052500000003,True,1.0,0.985591461040874,0.014408538959125972,0.985591461040874,0.014408538959125972
2023-08-31,2023-09-01,60,0.17309275458596382,estimated,1.0,3765.27,3947.89375,False,0.5,0.5,0.5,0.5,0.5
2023-09-28,2023-10-09,60,0.1688069836632287,estimated,1.0,3689.52,3940.78265,False,0.5,0.5,0.5,0.5,0.5
2023-10-31,2023-11-01,60,0.14986760105886068,estimated,1.0,3572.51,3913.9932999999996,False,0.5,0.5,0.5,0.5,0.5
2023-11-30,2023-12-01,60,0.13015045009015586,estimated,1.0,3496.2,3858.8017000000004,False,0.5,0.5,0.5,0.5,0.5
2023-12-29,2024-01-02,60,0.12950300275551935,estimated,1.0,3431.11,3782.9836999999998,False,0.5,0.5,0.5,0.5,0.5
2024-01-31,2024-02-01,60,0.13946421213172952,estimated,1.0,3215.35,3702.5960500000006,False,0.5,0.5,0.5,0.5,0.5
2024-02-29,2024-03-01,60,0.16649442047422727,estimated,1.0,3516.08,3652.03685,False,0.5,0.5,0.5,0.5,0.5
2024-03-29,2024-04-01,60,0.15731324928257187,estimated,1.0,3537.48,3613.1967,False,0.5,0.5,0.5,0.5,0.5
2024-04-30,2024-05-06,60,0.1382741314940747,estimated,1.0,3604.39,3581.7233,True,1.0,1.0,0.0,1.0,0.0
2024-05-31,2024-06-03,60,0.11798179347542147,estimated,1.0,3579.92,3557.8526,True,1.0,0.9999999999999999,1.1102230246251565e-16,0.9999999999999999,1.1102230246251565e-16
2024-06-28,2024-07-01,60,0.12079404184144409,estimated,1.0,3461.66,3526.6628,False,0.5,0.49999999999999994,0.5,0.49999999999999994,0.5
2024-07-31,2024-08-01,60,0.13308854510894605,estimated,1.0,3442.08,3492.8435499999996,False,0.5,0.5,0.5,0.5,0.5
2024-08-30,2024-09-02,60,0.13079013857591087,estimated,1.0,3321.43,3464.7115999999996,False,0.5,0.5,0.5,0.5,0.5
2024-09-30,2024-10-08,60,0.2535070061437729,estimated,0.7100395477745318,4017.85,3442.2543500000006,True,1.0,0.7100395477745318,0.2899604522254682,0.7100395477745318,0.2899604522254682
2024-10-31,2024-11-01,60,0.3343455476860898,estimated,0.5383651771220782,3891.04,3493.9245,True,1.0,0.5383651771220781,0.4616348228779219,0.5383651771220781,0.4616348228779219
2024-11-29,2024-12-02,60,0.3524757756173923,estimated,0.5106733921918866,3916.58,3565.27745,True,1.0,0.5106733921918865,0.48932660780811355,0.5106733921918865,0.48932660780811355
2024-12-31,2025-01-02,60,0.260815470524994,estimated,0.6901431101371365,3934.91,3625.9077999999995,True,1.0,0.6901431101371366,0.3098568898628634,0.6901431101371366,0.3098568898628634
2025-01-27,2025-02-05,60,0.1886968982844524,estimated,0.9539107512443463,3817.08,3646.8631999999993,True,1.0,0.9539107512443461,0.0460892487556539,0.9539107512443461,0.0460892487556539
2025-02-28,2025-03-03,60,0.15632594506840378,estimated,1.0,3890.05,3680.55745,True,1.0,1.0,0.0,1.0,0.0
2025-03-31,2025-04-01,60,0.16434779308176428,estimated,1.0,3887.31,3711.8453000000004,True,1.0,1.0,0.0,1.0,0.0
2025-04-30,2025-05-06,60,0.20126565018976744,estimated,0.8943403895810502,3770.57,3738.11235,True,1.0,0.89434038958105,0.10565961041895,0.89434038958105,0.10565961041895
2025-05-30,2025-06-03,60,0.19537170811518817,estimated,0.9213207057281536,3840.23,3778.2244999999994,True,1.0,0.9213207057281534,0.07867929427184661,0.9213207057281534,0.07867929427184661
2025-06-30,2025-07-01,60,0.17147335914423226,estimated,1.0,3936.08,3832.3365000000003,True,1.0,0.9999999999999999,1.1102230246251565e-16,0.9999999999999999,1.1102230246251565e-16
2025-07-31,2025-08-01,60,0.10312548694756264,estimated,1.0,4075.59,3912.0345500000003,True,1.0,0.9999999999999999,1.1102230246251565e-16,0.9999999999999999,1.1102230246251565e-16
2025-08-29,2025-09-01,60,0.11504854512537163,estimated,1.0,4496.76,3944.64375,True,1.0,0.9999999999999999,1.1102230246251565e-16,0.9999999999999999,1.1102230246251565e-16
2025-09-30,2025-10-09,60,0.13367302964730687,estimated,1.0,4640.69,4004.0221500000002,True,1.0,0.9999999999999999,1.1102230246251565e-16,0.9999999999999999,1.1102230246251565e-16
2025-10-31,2025-11-03,60,0.15762082201902508,estimated,1.0,4640.67,4060.73885,True,1.0,1.0,0.0,1.0,0.0
2025-11-28,2025-12-01,60,0.16835106504638067,estimated,1.0,4526.66,4140.24485,True,1.0,1.0,0.0,1.0,0.0
2025-12-31,2026-01-05,60,0.15988858754829122,estimated,1.0,4629.94,4216.5766,True,1.0,0.9999999999999999,1.1102230246251565e-16,0.9999999999999999,1.1102230246251565e-16
2026-01-30,2026-02-02,60,0.1475928682065517,estimated,1.0,4706.34,4301.17475,True,1.0,0.9999999999999999,1.1102230246251565e-16,0.9999999999999999,1.1102230246251565e-16
2026-02-27,2026-03-02,60,0.14499965925472466,estimated,1.0,4710.65,4365.622649999999,True,1.0,1.0,0.0,1.0,0.0
2026-03-31,2026-04-01,60,0.16221164353304504,estimated,1.0,4450.05,4445.8086,True,1.0,0.9999999999999999,1.1102230246251565e-16,0.9999999999999999,1.1102230246251565e-16
2026-04-30,2026-05-06,60,0.1665292692705303,estimated,1.0,4807.31,4527.64745,True,1.0,0.9999999999999999,1.1102230246251565e-16,0.9999999999999999,1.1102230246251565e-16
2026-05-29,2026-06-01,60,0.15639264190692065,estimated,1.0,4892.12,4603.066349999999,True,1.0,0.9999999999999999,1.1102230246251565e-16,0.9999999999999999,1.1102230246251565e-16
2026-06-30,2026-07-01,60,0.16803585424586864,estimated,1.0,4979.43,4674.231,True,1.0,1.0,0.0,1.0,0.0
